ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
3238 015 072218,3238,015,2201 LIBERTY HEIGHTS AVE,07/22/2018,Parkview/Woodbrook,Western,7,"(39.31863445, -76.65153253)"
2388 033B 072218,2388,033B,1129 POPLAR GROVE ST,07/22/2018,Winchester,Southwestern,9,"(39.30100702, -76.66497996)"
2307A004 072218,2307A,004,2407 W NORTH AVE,07/22/2018,Coppin Heights/Ash-Co-East,Western,7,"(39.30921755, -76.65622343)"
0044 018 072218,0044,018,1214 WHATCOAT ST,07/22/2018,Sandtown-Winchester,Western,9,"(39.30285796, -76.64125911)"
0019 068D 072218,0019,068D,1524 N MONROE ST,07/22/2018,Easterwood,Western,7,"(39.30589217, -76.64819861)"
0001 033 072218,0001,033,2002 WESTWOOD AVE,07/22/2018,Easterwood,Western,7,"(39.30891456, -76.65035633)"
5165B033 072318,5165B,033,5215 READY AVE,07/23/2018,Woodbourne-McCabe,Northern,4,"(39.35340106, -76.60767632)"
4166A027 072318,4166A,027,1652 E 25TH ST,07/23/2018,Darley Park,Eastern,14,"(39.31632407, -76.59382471)"
1612 018K 072318,1612,018K,2823 ASHLAND AVE,07/23/2018,Madison-Eastend,Eastern,13,"(39.30096881, -76.57732386)"
1538 025F 072318,1538,025F,2526 E BIDDLE ST,07/23/2018,Berea,Eastern,13,"(39.30496918, -76.58182592)"
3404 002 072418,3404,002,2502 WOODBROOK AVE,07/24/2018,Penn North,Western,7,"(39.31198732, -76.64328471)"
1177 036 072418,1177,036,1509 E BIDDLE ST,07/24/2018,Gay Street,Eastern,12,"(39.30396024, -76.59713495)"
0258 067 072418,0258,067,211 HARMISON ST,07/24/2018,Carrollton Ridge,Southern,9,"(39.28452513, -76.64898584)"
0190 038 072418,0190,038,2137 W FAYETTE ST,07/24/2018,Penrose/Fayette Street Outreach,Western,9,"(39.28913871, -76.65118717)"
7245C020 072518,7245C,020,3802 WEST BAY AVE,07/25/2018,Brooklyn,Southern,10,"(39.23175187, -76.59539052)"
0280 042 072518,0280,042,349 S STRICKER ST,07/25/2018,New Southwest/Mount Clare,Southern,9,"(39.28349702, -76.64043355)"
0005 018 072518,0005,018,1677 W NORTH AVE,07/25/2018,Sandtown-Winchester,Western,7,"(39.309723, -76.64473572)"
7203 010 072618,7203,010,1613 FILBERT ST,07/26/2018,Curtis Bay,Southern,10,"(39.22510881, -76.58759553)"
5158 046 072618,5158,046,519 SHERIDAN AVE,07/26/2018,Woodbourne-McCabe,Northern,4,"(39.35443392, -76.60899463)"
3937 053 072618,3937,053,2714 HUGO AVE,07/26/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32320663, -76.58945342)"
3538 010A 072618,3538,010A,3629 ROLAND AVE,07/26/2018,Hampden,Northern,14,"(39.33206913, -76.63229507)"
1524A018 072618,1524A,018,1304 N LINWOOD AVE,07/26/2018,Berea,Eastern,13,"(39.30630014, -76.57689999)"
3970 003 072718,3970,003,1504 RALWORTH ROAD,07/27/2018,Hillen,Notheastern,14,"(39.33938209, -76.59295882)"
3350B020 072718,3350B,020,2400 W COLD SPRING LANE,07/27/2018,Parklane,Northern,6,"(39.34098428, -76.65908973)"
2275D048 072718,2275D,048,26 N KOSSUTH ST,07/27/2018,Saint Josephs,Southwestern,8,"(39.28808609, -76.67432554)"
8293 030A 072918,8293,030A,3510 MILFORD AVE,07/29/2018,Howard Park,Northwestern,8,"(39.33265343, -76.7011651)"
5911 005 072918,5911,005,3009 KENTUCKY AVE,07/29/2018,Belair-Edison,Notheastern,13,"(39.32346691, -76.57050365)"
5260 006 072918,5260,006,5656 PURDUE AVE,07/29/2018,Woodbourne Heights,Notheastern,4,"(39.35831124, -76.59398763)"
4581 012 072918,4581,012,3305 SPAULDING AVE,07/29/2018,Central Park Heights,Northwestern,6,"(39.34700098, -76.67637731)"
4575 009 072918,4575,009,5117 CORDELIA AVE,07/29/2018,Langston Hughes,Northwestern,6,"(39.34514739, -76.68071351)"
4544B023 072918,4544B,023,5218 CUTHBERT AVE,07/29/2018,Arlington,Northwestern,5,"(39.34688248, -76.68187058)"
4526 020 072918,4526,020,3514 HAYWARD AVE,07/29/2018,Arlington,Northwestern,5,"(39.34895718, -76.68088013)"
4511D040 072918,4511D,040,4030 HAYWARD AVE,07/29/2018,Woodmere,Northwestern,5,"(39.34579493, -76.68567432)"
4010Q002 072918,4010Q,002,803 BONAPARTE AVE,07/29/2018,East Baltimore Midway,Eastern,12,"(39.31690881, -76.60306533)"
3342 063 072918,3342,063,2617 SHIRLEY AVE,07/29/2018,Greenspring,Northern,6,"(39.33459764, -76.66177792)"
3342 018 072918,3342,018,2604 KEYWORTH AVE,07/29/2018,Greenspring,Northern,6,"(39.33407922, -76.66089216)"
3340 025 072918,3340,025,2527 KEYWORTH AVE,07/29/2018,Greenspring,Northern,6,"(39.33402749, -76.65998034)"
3327C043 072918,3327C,043,2592 DRUID PARK DR,07/29/2018,Park Circle,Northwestern,6,"(39.32640844, -76.65695814)"
3238 020 072918,3238,020,2211 LIBERTY HEIGHTS AVE,07/29/2018,Parkview/Woodbrook,Western,7,"(39.31834309, -76.65177381)"
3019 003 072918,3019,003,2117 DENISON ST,07/29/2018,Walbrook,Southwestern,7,"(39.31145719, -76.6739131)"
3006 019A 072918,3006,019A,1903 N DUKELAND ST,07/29/2018,Walbrook,Southwestern,7,"(39.30967085, -76.66375651)"
2736 001 072918,2736,001,3400 OAKFIELD AVE,07/29/2018,Central Forest Park,Northwestern,6,"(39.32612537, -76.68672292)"
2481 027 072918,2481,027,2938 ARUNAH AVE,07/29/2018,Franklintown Road,Southwestern,9,"(39.2953731, -76.66621403)"
2451 038 072918,2451,038,3135 BAKER ST,07/29/2018,Rosemont,Southwestern,9,"(39.30558011, -76.67033113)"
2406 057 072918,2406,057,1707 POPLAR GROVE ST,07/29/2018,Northwest Community Action,Southwestern,7,"(39.3074588, -76.66539978)"
2377B039 072918,2377B,039,2813 HARLEM AVE,07/29/2018,Mosher,Western,9,"(39.29531904, -76.66342831)"
2359 057 072918,2359,057,2409 W LAFAYETTE AVE,07/29/2018,Bridgeview/Greenlawn,Western,9,"(39.29819114, -76.65541804)"
2352 031 072918,2352,031,2318 MOSHER ST,07/29/2018,Bridgeview/Greenlawn,Western,9,"(39.29979633, -76.65449509)"
2347 008 072918,2347,008,611 N BENTALOU ST,07/29/2018,Midtown-Edmondson,Western,9,"(39.29552924, -76.65299045)"
2332D042 072918,2332D,042,2900 BELMONT AVE,07/29/2018,Northwest Community Action,Southwestern,9,"(39.30374696, -76.66598752)"
2320 040 072918,2320,040,1610 RUXTON AVE,07/29/2018,Coppin Heights/Ash-Co-East,Western,7,"(39.30665223, -76.65517475)"
2201 010 072918,2201,010,2319 EDMONDSON AVE,07/29/2018,Rosemont Homeowners/Tenants,Western,9,"(39.29454729, -76.6538872)"
0123 033 072918,0123,033,1531 EDMONDSON AVE,07/29/2018,Harlem Park,Western,9,"(39.2950572, -76.64245151)"
0121 044 072918,0121,044,525 N FULTON AVE,07/29/2018,Harlem Park,Western,9,"(39.29447745, -76.64525664)"
0118 065 072918,0118,065,510 N PAYSON ST,07/29/2018,Midtown-Edmondson,Western,9,"(39.2940415, -76.64923817)"
0095 067 072918,0095,067,1916 HARLEM AVE,07/29/2018,Midtown-Edmondson,Western,9,"(39.29656576, -76.64792922)"
0061 033 072918,0061,033,1039 N MOUNT ST,07/29/2018,Sandtown-Winchester,Western,9,"(39.30072487, -76.64421047)"
0059 057 072918,0059,057,1812 MOSHER ST,07/29/2018,Sandtown-Winchester,Western,9,"(39.30004096, -76.64690916)"
0053 070 072918,0053,070,1106 N PARRISH ST,07/29/2018,Sandtown-Winchester,Western,9,"(39.30164819, -76.64254112)"
0027 027 072918,0027,027,1705 PRESSTMAN ST,07/29/2018,Sandtown-Winchester,Western,7,"(39.30511115, -76.64524266)"
0027 026 072918,0027,026,1703 PRESSTMAN ST,07/29/2018,Sandtown-Winchester,Western,7,"(39.3051126, -76.64519684)"
0023B004 072918,0023B,004,1506 PRESSTMAN ST,07/29/2018,Sandtown-Winchester,Western,7,"(39.30563958, -76.6422134)"
0003 002 072918,0003,002,1802 N FULTON AVE,07/29/2018,Sandtown-Winchester,Western,7,"(39.30898886, -76.64671669)"
8102A007 073018,8102A,007,4716 FREDERICK AVE,07/30/2018,Tremont,Southwestern,8,"(39.28168957, -76.69368923)"
6276 128 073018,6276,128,3220 LEVERTON AVE,07/30/2018,Patterson Park Neighborhood,Southeastern,1,"(39.29200254, -76.57095795)"
4071 062E 073018,4071,062E,2717 BOONE ST,07/30/2018,Better Waverly,Northern,14,"(39.32149443, -76.60841285)"
4050E021 073018,4050E,021,811 VENABLE AVE,07/30/2018,Waverly,Northern,14,"(39.32898188, -76.60425758)"
2409A037 073018,2409A,037,1522 POPLAR GROVE ST,07/30/2018,Northwest Community Action,Southwestern,9,"(39.30542817, -76.66583672)"
2281 232 073018,2281,232,111 DENISON ST,07/30/2018,Allendale,Southwestern,8,"(39.28871092, -76.67641539)"
0115 001 073018,0115,001,1001 HARLEM AVE,07/30/2018,Harlem Park,Western,9,"(39.29661719, -76.63438944)"
0110 046 073018,0110,046,1620 EDMONDSON AVE,07/30/2018,Harlem Park,Western,9,"(39.29547886, -76.64384055)"
0108 020 073018,0108,020,638 N FULTON AVE,07/30/2018,Harlem Park,Western,9,"(39.2960892, -76.64592353)"
0102 008 073018,0102,008,714 N CARROLLTON AVE,07/30/2018,Harlem Park,Western,9,"(39.2971943, -76.6375538)"
4041 046 073118,4041,046,643 BARTLETT AVE,07/31/2018,East Baltimore Midway,Eastern,12,"(39.31634534, -76.60697577)"
6115 042 080118,6115,042,3683 KENYON AVE,08/01/2018,Belair-Edison,Notheastern,13,"(39.3178303, -76.56248109)"
4171 144 080118,4171,144,1901 N COLLINGTON AVE,08/01/2018,South Clifton Park,Eastern,12,"(39.31287067, -76.58727643)"
1446 021 080118,1446,021,1745 E NORTH AVE,08/01/2018,Broadway East,Eastern,12,"(39.31192552, -76.59383032)"
0769 102 080118,0769,102,1130 WASHINGTON BLVD,08/01/2018,Washington Village/Pigtown,Southern,10,"(39.28258713, -76.63324756)"
0769 001 080118,0769,001,1100 SARGEANT ST,08/01/2018,Washington Village/Pigtown,Southern,10,"(39.28332607, -76.63329648)"
5733E008 080218,5733E,008,4429 POWELL AVE,08/02/2018,Cedmont,Notheastern,2,"(39.34515809, -76.53357508)"
3937 051 080218,3937,051,2710 HUGO AVE,08/02/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32315283, -76.5893838)"
3936 084 080218,3936,084,2720 FENWICK AVE,08/02/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32282464, -76.59027939)"
1643 019 080218,1643,019,637 N LAKEWOOD AVE,08/02/2018,McElderry Park,Southeastern,13,"(39.29863884, -76.57920395)"
1458 012 080218,1458,012,1723 N WOLFE ST,08/02/2018,Broadway East,Eastern,12,"(39.31044927, -76.59136818)"
0112 019 080218,0112,019,636 N CAREY ST,08/02/2018,Harlem Park,Western,9,"(39.29641401, -76.63887692)"
5183 078 080318,5183,078,822 RICHWOOD AVE,08/03/2018,Richnor Springs,Northern,4,"(39.34655298, -76.60416039)"
4053 041 080318,4053,041,3308 WESTERWALD AVE,08/03/2018,Waverly,Northern,14,"(39.32907462, -76.60528716)"
3845 019 080318,3845,019,420 WHITRIDGE AVE,08/03/2018,Harwood,Northern,12,"(39.32171586, -76.61048073)"
2517 022 080318,2517,022,842 WILDWOOD PKWY,08/03/2018,Edmondson Village,Southwestern,8,"(39.29769903, -76.68423543)"
2485 013 080318,2485,013,626 N EDGEWOOD ST,08/03/2018,Edgewood,Southwestern,8,"(39.29518977, -76.67589184)"
2183B001 080318,2183B,001,200 S FRANKLINTOWN ROAD,08/03/2018,Shipley Hill,Southwestern,9,"(39.28441502, -76.65866972)"
1449 105 080318,1449,105,2021 E NORTH AVE,08/03/2018,Broadway East,Eastern,12,"(39.31210109, -76.58975098)"
0197 001 080318,0197,001,1401 W FAYETTE ST,08/03/2018,Franklin Square,Western,9,"(39.28943528, -76.63977798)"
0073 035 080318,0073,035,908 N MOUNT ST,08/03/2018,Sandtown-Winchester,Western,9,"(39.29935295, -76.64464539)"
0057 013 080318,0057,013,1024 N PAYSON ST,08/03/2018,Bridgeview/Greenlawn,Western,9,"(39.30031883, -76.64960716)"
0055C049 080318,0055C,049,1132 N CARROLLTON AVE,08/03/2018,Sandtown-Winchester,Western,9,"(39.30192157, -76.63771266)"
8102E020 080618,8102E,020,15 S WICKHAM ROAD,08/06/2018,Tremont,Southwestern,8,"(39.28305496, -76.69553225)"
2504 082 080618,2504,082,765 N GRANTLEY ST,08/06/2018,Edgewood,Southwestern,8,"(39.29672165, -76.67567896)"
2219 009 080618,2219,009,316 N FRANKLINTOWN ROAD,08/06/2018,Penrose/Fayette Street Outreach,Southwestern,9,"(39.29253837, -76.66230146)"
0281 039 080618,0281,039,331 S CALHOUN ST,08/06/2018,New Southwest/Mount Clare,Southern,9,"(39.28386951, -76.63904103)"
0275 118 080618,0275,118,1837 WILHELM ST,08/06/2018,Carrollton Ridge,Southern,9,"(39.28357387, -76.64616798)"
0264 068 080618,0264,068,218 S NORRIS ST,08/06/2018,New Southwest/Mount Clare,Southern,9,"(39.28489362, -76.64020784)"
0244 023 080618,0244,023,121 S FULTON AVE,08/06/2018,Union Square,Southern,9,"(39.28549122, -76.64481294)"
0244 018 080618,0244,018,111 S FULTON AVE,08/06/2018,Union Square,Southern,9,"(39.28575089, -76.64480822)"
0244 017 080618,0244,017,109 S FULTON AVE,08/06/2018,Union Square,Southern,9,"(39.28579413, -76.64481047)"
0244 015 080618,0244,015,105 S FULTON AVE,08/06/2018,Union Square,Southern,9,"(39.28588192, -76.64480976)"
0228 028 080618,0228,028,51 S FULTON AVE,08/06/2018,Union Square,Southern,9,"(39.28647009, -76.64481759)"
0228 001 080618,0228,001,1701 HOLLINS ST,08/06/2018,Union Square,Southern,9,"(39.2871133, -76.64386915)"
0150 052 080618,0150,052,1614 W SARATOGA ST,08/06/2018,Franklin Square,Western,9,"(39.29229165, -76.64330762)"
6296 040 080718,6296,040,330 S CLINTON ST,08/07/2018,Highlandtown,Southeastern,1,"(39.28787073, -76.57032295)"
5931 038 080718,5931,038,4301 NICHOLAS AVE,08/07/2018,Belair-Edison,Notheastern,2,"(39.32777398, -76.56264678)"
4169 071 080718,4169,071,1900 N COLLINGTON AVE,08/07/2018,South Clifton Park,Eastern,12,"(39.31281332, -76.58776931)"
4024 070 080718,4024,070,534 E 23RD ST,08/07/2018,East Baltimore Midway,Eastern,12,"(39.31561672, -76.60848167)"
3323 013 080718,3323,013,3724 PARK HEIGHTS AVE,08/07/2018,Park Circle,Northwestern,6,"(39.33130647, -76.66078565)"
2743 015 080718,2743,015,4014 NORFOLK AVE,08/07/2018,Concerned Citizens Of Forest Park,Northwestern,6,"(39.32387619, -76.68660848)"
1157 025 080718,1157,025,1206 ENSOR ST,08/07/2018,Johnston Square,Eastern,12,"(39.30436201, -76.60384673)"
6235 018 080818,6235,018,6624 QUAD AVE,08/08/2018,Pulaski Industrial Area,Southeastern,2,"(39.30175297, -76.53444336)"
2199E043 080818,2199E,043,3220 MASSACHUSETTS AVE,08/08/2018,Carroll-South Hilton,Southwestern,9,"(39.28409984, -76.67119169)"
2136 028 080818,2136,028,2692 WILKENS AVE,08/08/2018,Millhill,Southwestern,9,"(39.27833182, -76.65857154)"
3100G010 080918,3100G,010,3476 DOLFIELD AVE,08/09/2018,East Arlington,Northwestern,6,"(39.33330396, -76.67258572)"
7650C026 081018,7650C,026,701 ROUNDVIEW ROAD,08/10/2018,Cherry Hill,Southern,10,"(39.24776632, -76.62051147)"
6072A026 081018,6072A,026,5412 CEDONIA AVE,08/10/2018,Cedonia,Notheastern,2,"(39.33098024, -76.53323414)"
5809 002 081018,5809,002,4803 ARABIA AVE,08/10/2018,Waltherson,Notheastern,3,"(39.34358631, -76.5650493)"
4051B023 081018,4051B,023,831 E 33RD ST,08/10/2018,Better Waverly,Northern,14,"(39.3281108, -76.60384148)"
2848 009 081018,2848,009,2911 MOUNT HOLLY ST,08/10/2018,Windsor Hills,Northwestern,6,"(39.3208887, -76.68302114)"
2737A007 081018,2737A,007,4107 MAINE AVE,08/10/2018,Central Forest Park,Northwestern,8,"(39.32766069, -76.68911732)"
2700A004 081018,2700A,004,4004 BELVIEU AVE,08/10/2018,West Arlington,Northwestern,6,"(39.34001057, -76.68621205)"
0789 013 081018,0789,013,1353 CARROLL ST,08/10/2018,Washington Village/Pigtown,Southern,10,"(39.27895328, -76.63505954)"
0777 088 081018,0777,088,1421 WARD ST,08/10/2018,Washington Village/Pigtown,Southern,10,"(39.27859044, -76.63657492)"
0150 033 081018,0150,033,325 N MOUNT ST,08/10/2018,Franklin Square,Western,9,"(39.29270689, -76.64375127)"
0006 029A 081018,0006,029A,1703 N PULASKI ST,08/10/2018,Easterwood,Western,7,"(39.30790781, -76.65092735)"
4138 002 081218,4138,002,1608 ABBOTSTON ST,08/12/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32289097, -76.59410876)"
2388 034A 081218,2388,034A,2803 WINCHESTER ST,08/12/2018,Winchester,Southwestern,9,"(39.30116803, -76.66372705)"
0050 086 081218,0050,086,1818 RIGGS AVE,08/12/2018,Sandtown-Winchester,Western,9,"(39.30111713, -76.64713191)"
0004 010 081218,0004,010,1819 N FULTON AVE,08/12/2018,Sandtown-Winchester,Western,7,"(39.30934063, -76.64595953)"
1656 037 081418,1656,037,518 N LUZERNE AVE,08/14/2018,McElderry Park,Southeastern,13,"(39.29721762, -76.58102766)"
1572 031 081418,1572,031,1028 N MILTON AVE,08/14/2018,Biddle Street,Eastern,13,"(39.30307246, -76.58280775)"
1572 030 081418,1572,030,1030 N MILTON AVE,08/14/2018,Biddle Street,Eastern,13,"(39.30310797, -76.58281013)"
1536 084 081418,1536,084,1231 N PATTERSON PARK AVE,08/14/2018,Broadway East,Eastern,13,"(39.30534346, -76.58526652)"
1483 008 081418,1483,008,2226 E OLIVER ST,08/14/2018,Broadway East,Eastern,13,"(39.30800082, -76.58655888)"
1276 024 081418,1276,024,1031 E MONUMENT ST,08/14/2018,Oldtown,Eastern,12,"(39.29785753, -76.60325887)"
0185 063 081418,0185,063,1113 W LEXINGTON ST,08/14/2018,Poppleton,Western,9,"(39.29074563, -76.63655489)"
7445 034 081518,7445,034,2821 MAISEL ST,08/15/2018,Westport,Southern,10,"(39.26142755, -76.63358794)"
5140A014 081518,5140A,014,5619 GOVANE AVE,08/15/2018,Mid-Govans,Northern,4,"(39.35833407, -76.60706355)"
1688 021 081518,1688,021,2215 ORLEANS ST,08/15/2018,CARE,Eastern,13,"(39.29528538, -76.58589728)"
1451 033 081518,1451,033,2211 E NORTH AVE,08/15/2018,Broadway East,Eastern,12,"(39.31223442, -76.58710109)"
1179B038 081518,1179B,038,423 E CHASE ST,08/15/2018,Johnston Square,Eastern,12,"(39.30243531, -76.60956256)"
1127 037 081518,1127,037,1631 E FEDERAL ST,08/15/2018,Oliver,Eastern,12,"(39.30830807, -76.59550783)"
1099A051 081518,1099A,051,1825 AISQUITH ST,08/15/2018,Oliver,Eastern,12,"(39.3110893, -76.60234733)"
0224 015 081518,0224,015,1936 FREDERICK AVE,08/15/2018,Boyd-Booth,Southwestern,9,"(39.28663573, -76.64796334)"
7614 025 081618,7614,025,522 BRIDGEVIEW ROAD,08/16/2018,Cherry Hill,Southern,10,"(39.25010693, -76.62115543)"
4137 081 081618,4137,081,1511 E 28TH ST,08/16/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.3236631, -76.59435498)"
2377D101 081618,2377D,101,2629 RAYNER AVE,08/16/2018,Mosher,Western,9,"(39.29612705, -76.66035403)"
1651 021 081618,1651,021,2025 MCELDERRY ST,08/16/2018,CARE,Eastern,13,"(39.2972949, -76.58837515)"
1455 032 081618,1455,032,1657 N MILTON AVE,08/16/2018,Berea,Eastern,13,"(39.31017563, -76.58256616)"
0294 026 081618,0294,026,1625 W NORTH AVE,08/16/2018,Penn North,Western,7,"(39.3097777, -76.64319438)"
0083 028 081618,0083,028,803 N PAYSON ST,08/16/2018,Midtown-Edmondson,Western,9,"(39.29790417, -76.64893067)"
7095A020 081718,7095A,020,3807 BROOKLYN AVE,08/17/2018,Brooklyn,Southern,10,"(39.23354574, -76.60099616)"
6433 010 081718,6433,010,637 S CONKLING ST,08/17/2018,Brewers Hill,Southeastern,1,"(39.28475389, -76.56669806)"
6291 023 081718,6291,023,145 S BOULDIN ST,08/17/2018,Patterson Park Neighborhood,Southeastern,1,"(39.29028707, -76.57076673)"
4071 046 081718,4071,046,522 E 27TH ST,08/17/2018,Better Waverly,Northern,14,"(39.32106667, -76.60829317)"
3834 025 081718,3834,025,348 E 25TH ST,08/17/2018,Harwood,Northern,12,"(39.31836037, -76.61136295)"
2299C059 081718,2299C,059,204 N GRANTLEY ST,08/17/2018,Allendale,Southwestern,8,"(39.29075594, -76.67703534)"
1933 064 081718,1933,064,606 HYSON ST,08/17/2018,Riverside,Southern,11,"(39.27340949, -76.6048266)"
0292 011 081718,0292,011,1720 WILKENS AVE,08/17/2018,New Southwest/Mount Clare,Southern,9,"(39.28299053, -76.64469501)"
5152A015 081818,5152A,015,702 WOODBOURNE AVE,08/18/2018,Mid-Govans,Northern,4,"(39.35540671, -76.60574442)"
1671 067 081818,1671,067,416 N BRADFORD ST,08/18/2018,McElderry Park,Southeastern,13,"(39.29614032, -76.58441606)"
4138 001 081918,4138,001,1600 ABBOTSTON ST,08/19/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32298477, -76.5942549)"
3936 090 081918,3936,090,2732 FENWICK AVE,08/19/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32301048, -76.59051916)"
2748C005 081918,2748C,005,4111 FAIRVIEW AVE,08/19/2018,West Forest Park,Northwestern,6,"(39.32231387, -76.68717768)"
2738 011 081918,2738,011,3310 OAKFIELD AVE,08/19/2018,Central Forest Park,Northwestern,6,"(39.3255903, -76.68690147)"
0074 012 081918,0074,012,949 N MOUNT ST,08/19/2018,Sandtown-Winchester,Western,9,"(39.29982902, -76.64415971)"
0074 011 081918,0074,011,947 N MOUNT ST,08/19/2018,Sandtown-Winchester,Western,9,"(39.2997918, -76.64416183)"
1454 026 082118,1454,026,1810 N MILTON AVE,08/21/2018,Broadway East,Eastern,13,"(39.31162965, -76.58334442)"
0696 097 082118,0696,097,2207 CHRISTIAN ST,08/21/2018,Carrollton Ridge,Southwestern,9,"(39.28103586, -76.65127091)"
7087 013 082218,7087,013,827 E PATAPSCO AVE,08/22/2018,Brooklyn,Southern,10,"(39.23475449, -76.59817592)"
4178K049 082218,4178K,049,3406 LYNDALE AVE,08/22/2018,Four By Four,Notheastern,13,"(39.31663845, -76.57556442)"
4094 005 082218,4094,005,1118 MONTPELIER ST,08/22/2018,Better Waverly,Northern,14,"(39.32440082, -76.60271175)"
4071 032 082218,4071,032,2714 MATHEWS ST,08/22/2018,Better Waverly,Northern,14,"(39.32153318, -76.60812496)"
2508 049 082218,2508,049,3917 CRANSTON AVE,08/22/2018,Edmondson Village,Southwestern,8,"(39.29616849, -76.68223704)"
2503 050 082218,2503,050,719 LINNARD ST,08/22/2018,Edgewood,Southwestern,8,"(39.29576509, -76.67565727)"
2503 047 082218,2503,047,713 LINNARD ST,08/22/2018,Edgewood,Southwestern,8,"(39.29564186, -76.6757975)"
1678 012 082218,1678,012,319 N ROBINSON ST,08/22/2018,Ellwood Park/Monument,Southeastern,13,"(39.29597416, -76.57271307)"
1500 027 082218,1500,027,1419 N CHESTER ST,08/22/2018,Broadway East,Eastern,13,"(39.30735907, -76.58812055)"
7093 003 082418,7093,003,3703 5TH ST,08/24/2018,Brooklyn,Southern,10,"(39.23539786, -76.60423286)"
6047 039 082418,6047,039,4907 SCHAUB AVE,08/24/2018,Frankford,Notheastern,2,"(39.32227057, -76.53974915)"
5165 067A 082418,5165,067A,711 MCCABE AVE,08/24/2018,Winston-Govans,Northern,4,"(39.35214921, -76.60656281)"
3855 014 082418,3855,014,2952 GREENMOUNT AVE,08/24/2018,Abell,Northern,12,"(39.32454156, -76.60969012)"
1753 028 082418,1753,028,1724 GOUGH ST,08/24/2018,Upper Fells Point,Southeastern,1,"(39.28785871, -76.59229701)"
7231 097 082618,7231,097,1413 OLMSTEAD ST,08/26/2018,Curtis Bay,Southern,10,"(39.22722886, -76.59087434)"
1644 046 082618,1644,046,626 N STREEPER ST,08/26/2018,McElderry Park,Southeastern,13,"(39.29849321, -76.57750209)"
0696 108 082618,0696,108,2229 CHRISTIAN ST,08/26/2018,Carrollton Ridge,Southwestern,9,"(39.28089442, -76.6516977)"
0696 017 082618,0696,017,534 S SMALLWOOD ST,08/26/2018,Carrollton Ridge,Southwestern,9,"(39.28107645, -76.65097727)"
0159 025 082618,0159,025,2202 W LEXINGTON ST,08/26/2018,Penrose/Fayette Street Outreach,Western,9,"(39.29062586, -76.65180914)"
4804A014A 082718,4804A,014A,3028 VIRGINIA AVE,08/27/2018,Cylburn,Northern,6,"(39.34521234, -76.66798311)"
3808 031 082718,3808,031,102 E 20TH ST,08/27/2018,Barclay,Northern,12,"(39.31250488, -76.61433803)"
3327F085 082718,3327F,085,3629 COTTAGE AVE,08/27/2018,Park Circle,Northwestern,6,"(39.33040365, -76.65784262)"
3173 034 082718,3173,034,2923 VIOLET AVE,08/27/2018,Park Circle,Northwestern,6,"(39.32909732, -76.66284074)"
3059B023 082718,3059B,023,2506 N ELLAMONT ST,08/27/2018,Hanlon-Longwood,Northwestern,7,"(39.31560808, -76.67165795)"
3043 016 082718,3043,016,2937 GWYNNS FALLS PKWY,08/27/2018,Walbrook,Southwestern,7,"(39.31418712, -76.66759093)"
2752 001 082718,2752,001,3000 CHELSEA TERR,08/27/2018,Concerned Citizens Of Forest Park,Northwestern,6,"(39.32140425, -76.68237926)"
0021 026 082718,0021,026,1713 BAKER ST,08/27/2018,Sandtown-Winchester,Western,7,"(39.30650218, -76.64522146)"
4178E022 082818,4178E,022,3208 LYNDALE AVE,08/28/2018,Four By Four,Notheastern,13,"(39.31661165, -76.57813988)"
2256 042 082818,2256,042,163 S KOSSUTH ST,08/28/2018,Saint Josephs,Southwestern,8,"(39.2843221, -76.67752242)"
8139D031 082918,8139D,031,5105 FREDERICK AVE,08/29/2018,Beechfield,Southwestern,8,"(39.28096011, -76.69932617)"
4178A031 082918,4178A,031,3160 RAVENWOOD AVE,08/29/2018,Four By Four,Notheastern,13,"(39.31546178, -76.57903151)"
3881 030 082918,3881,030,3119 BARCLAY ST,08/29/2018,Abell,Northern,14,"(39.32687359, -76.61074362)"
1674 056 082918,1674,056,2614 ORLEANS ST,08/29/2018,McElderry Park,Southeastern,13,"(39.29590147, -76.57980165)"
1627 047 082918,1627,047,714 N KENWOOD AVE,08/29/2018,Madison-Eastend,Eastern,13,"(39.29937535, -76.5783302)"
1449 134 082918,1449,134,1801 N WASHINGTON ST,08/29/2018,Broadway East,Eastern,12,"(39.31119193, -76.59005168)"
1108 050 082918,1108,050,1742 N BOND ST,08/29/2018,Oliver,Eastern,12,"(39.31041177, -76.59722982)"
6069 053 083018,6069,053,4812 ABERDEEN AVE,08/30/2018,Frankford,Notheastern,2,"(39.31984852, -76.55101759)"
3825 015 083018,3825,015,2460 GREENMOUNT AVE,08/30/2018,Barclay,Eastern,12,"(39.31749557, -76.60975748)"
3443 030 083018,3443,030,2125 BOLTON ST,08/30/2018,Reservoir Hill,Central,7,"(39.31241504, -76.62962265)"
